id,user,uid,version,changeset,timestamp
268332564,Saikrishna_FultonCountyImport,1981121,1,21265502,2014-03-23T14:47:04Z
268332568,Saikrishna_FultonCountyImport,1981121,1,21265502,2014-03-23T14:47:04Z
268332572,Saikrishna_FultonCountyImport,1981121,1,21265502,2014-03-23T14:47:04Z
268332576,Saikrishna_FultonCountyImport,1981121,1,21265502,2014-03-23T14:47:05Z
268332580,Saikrishna_FultonCountyImport,1981121,1,21265502,2014-03-23T14:47:05Z
268332584,Saikrishna_FultonCountyImport,1981121,1,21265502,2014-03-23T14:47:05Z
268332588,Saikrishna_FultonCountyImport,1981121,1,21265502,2014-03-23T14:47:06Z
268332592,Saikrishna_FultonCountyImport,1981121,1,21265502,2014-03-23T14:47:06Z
268332596,Saikrishna_FultonCountyImport,1981121,1,21265502,2014-03-23T14:47:06Z
268332601,Saikrishna_FultonCountyImport,1981121,1,21265502,2014-03-23T14:47:06Z
268332606,Saikrishna_FultonCountyImport,1981121,1,21265502,2014-03-23T14:47:07Z
268332610,Saikrishna_FultonCountyImport,1981121,1,21265502,2014-03-23T14:47:07Z
268332614,Saikrishna_FultonCountyImport,1981121,1,21265502,2014-03-23T14:47:07Z
268332618,Saikrishna_FultonCountyImport,1981121,1,21265502,2014-03-23T14:47:08Z
268332622,Saikrishna_FultonCountyImport,1981121,1,21265502,2014-03-23T14:47:08Z
268332626,Saikrishna_FultonCountyImport,1981121,1,21265502,2014-03-23T14:47:08Z
268332630,Saikrishna_FultonCountyImport,1981121,1,21265502,2014-03-23T14:47:08Z
268332634,Saikrishna_FultonCountyImport,1981121,1,21265502,2014-03-23T14:47:09Z
268332638,Saikrishna_FultonCountyImport,1981121,1,21265502,2014-03-23T14:47:09Z
268332642,Saikrishna_FultonCountyImport,1981121,1,21265502,2014-03-23T14:47:09Z
268332646,Saikrishna_FultonCountyImport,1981121,1,21265502,2014-03-23T14:47:10Z
268332651,Saikrishna_FultonCountyImport,1981121,1,21265502,2014-03-23T14:47:10Z
268332655,Saikrishna_FultonCountyImport,1981121,1,21265502,2014-03-23T14:47:11Z
268332659,Saikrishna_FultonCountyImport,1981121,1,21265502,2014-03-23T14:47:11Z
